Country ID,Country,ISO3 Code,Year,GDP_Per_Capita
586,Pakistan,PAK,2023,1360.32417758419
585,Palau,PLW,2023,15610.8231931032
591,Panama,PAN,2023,18797.1933994045
598,Papua New Guinea,PNG,2023,2966.06830432055
600,Paraguay,PRY,2023,6299.99026533713
604,Peru,PER,2023,7887.54185920108
608,Philippines,PHL,2023,3804.08274131097
616,Poland,POL,2023,22145.2660647429
620,Portugal,PRT,2023,27634.6183139773
630,Puerto Rico (US),PRI,2023,36980.7884784287
634,Qatar,QAT,2023,81816.9797967481
642,Romania,ROU,2023,18244.4186876321
643,Russian Federation,RUS,2023,14159.3876953125
646,Rwanda,RWA,2023,1027.03446826565
882,Samoa,WSM,2023,4822.74084650019
674,San Marino,SMR,2023,59879.7173015651
678,Sao Tome and Principe,STP,2023,2990.6606143535
682,Saudi Arabia,SAU,2023,36156.848337701
686,Senegal,SEN,2023,1698.03387300843
688,Serbia,SRB,2023,12281.707946167
690,Seychelles,SYC,2023,18262.7115849287
694,Sierra Leone,SLE,2023,758.329137378248
702,Singapore,SGP,2023,85412.230345235
534,Sint Maarten (Dutch part),SXM,2023,39451.8223361963
703,Slovak Republic,SVK,2023,24614.8734642794
705,Slovenia,SVN,2023,32660.4753581346
90,Solomon Islands,SLB,2023,1882.64394148042
706,"Somalia, Fed. Rep.",SOM,2023,596.885985135589
710,South Africa,ZAF,2023,6034.27208964673
724,Spain,ESP,2023,33493.2225409111
144,Sri Lanka,LKA,2023,3798.89016573011
659,St. Kitts and Nevis,KNA,2023,22576.9248439166
662,St. Lucia,LCA,2023,13554.7684784933
670,St. Vincent and the Grenadines,VCT,2023,10582.3656725229
736,Sudan,SDN,2023,797.283447265625
740,Suriname,SUR,2023,5521.97602122638
752,Sweden,SWE,2023,54950.2834725622
756,Switzerland,CHE,2023,100623.549627296
762,Tajikistan,TJK,2023,1178.47990060249
834,Tanzania,TZA,2023,1224.00219726563
764,Thailand,THA,2023,7195.10130919449
626,Timor-Leste,TLS,2023,1502.41147438211
768,Togo,TGO,2023,1055.01727877926
776,Tonga,TON,2023,5651.59373063157
780,Trinidad and Tobago,TTO,2023,18308.4536298575
788,Tunisia,TUN,2023,3951.11683376921
792,Turkiye,TUR,2023,13375.0947282864
795,Turkmenistan,TKM,2023,6231.91323839698
796,Turks and Caicos Islands,TCA,2023,35470.2151608295
798,Tuvalu,TUV,2023,6344.7750188689
800,Uganda,UGA,2023,1002.30913917142
804,Ukraine,UKR,2023,5139.59814453125
784,United Arab Emirates,ARE,2023,49850.6872175164
826,United Kingdom,GBR,2023,49944.4702124201
840,United States,USA,2023,81032.262117545
858,Uruguay,URY,2023,23019.4221560046
860,Uzbekistan,UZB,2023,2878.96879292451
548,Vanuatu,VUT,2023,3482.61458237637
862,"Venezuela, RB",VEN,2023,3617.43594578269
704,Viet Nam,VNM,2023,4323.35031982451
275,West Bank and Gaza,PSE,2023,3455.02852911712
894,Zambia,ZMB,2023,1330.72780576709
716,Zimbabwe,ZWE,2023,2195.22492079245
